ncessch,test_score,learn_rate,urbanicity,level,perecd,high_ecd
60462009116,0.5236296324216863,1.274425474546982,Suburb,Elementary,0.1779685748329229,0
60465000429,0.7094472837214862,0.9061771719091434,City,Middle,0.1861754773362281,0
60474000443,0.973306017844517,0.8983068047198859,City,Middle,0.4007883791118355,0
60474000450,0.2507911660133457,1.362768464522117,City,Elementary,0.445087303257851,0
60480000457,-0.6330767380725248,0.7544994616180902,City,Elementary,0.3818337709206077,0
60480000458,-0.495775039190665,0.5833519120111594,City,Elementary,0.3881391612095119,0
60480000459,-0.0191770688638009,1.203818422772044,City,Elementary,0.4088942892432331,0
60480000460,0.6575853534991394,1.397593101113683,City,Elementary,0.3698005183242596,0
60480000461,-0.4509903043299905,1.305330139512231,City,Middle,0.44054714372343,0
60480000462,0.6035792186601023,0.8250828323958005,City,Elementary,0.2707973230920093,0
60480000463,0.7677181877745669,1.607157312932958,City,Elementary,0.468318913466947,0
60480000464,-0.7654311421441822,1.618743510262361,City,Middle,0.4639249434710709,0
60480000465,1.918069768532618,0.3956756565879956,City,Elementary,0.2421180697028013,0
60480000466,1.10756425448644,1.602746599243134,City,Middle,0.3147421735966435,0
60480000467,-0.1809533581062857,0.6784703314892035,City,Elementary,0.4668358248686224,0
60480000469,-0.1541139389122153,0.9060508123368917,City,Elementary,0.4928525465711519,0
60483000472,1.210021266656332,1.224439534145648,Suburb,Elementary,0.0692742575475894,0
60483000473,1.255470861540665,1.34529906078374,Suburb,Elementary,0.0475355500953041,0
60483000474,1.566756161474103,1.056751079598797,Suburb,Elementary,0.0502978548336115,0
60483000475,1.204228038736916,1.218354823651659,Suburb,Elementary,0.1131404155578921,0
60486000476,-0.7745088572815009,1.007087744615677,Rural,Elementary,0.2616827184033066,0
60489000477,-1.062703213968084,1.016036852405001,Rural,Elementary,0.751600091976862,1
60495000479,-1.755152823108686,0.8712386443841555,Rural,Elementary,0.7805433505921893,1
60498000481,-1.319818727678318,1.212197711383414,Rural,Elementary,0.6391112458757087,1
60504000485,-2.532865466346196,1.078142338331495,Rural,Elementary,0.7624408710363498,1
60519000492,-0.6431205505034185,1.083495713001487,Rural,Elementary,0.0955380136315984,0
60524000494,-1.143252560098079,0.9749978506353036,Rural,Elementary,0.5350204815729579,0
60524007651,-0.5046602082528402,0.988392632051857,Rural,Elementary,0.352362317151014,0
60524012774,-1.383634826547192,1.692676588339495,Rural,Other,0.3730353838223777,0
60528000498,-1.201516260643568,0.9603626681643657,Rural,Elementary,0.5747114484670692,1
60528011789,-1.278139466480722,1.093702194903507,City,Other,0.4377688274980462,0
60528012941,-1.570979814300009,1.724235018136061,Rural,Other,0.2470578218074117,0
60540000499,-1.480477404959688,1.249864159400581,Rural,Elementary,0.5350092500794716,0
60552000501,0.258415878561407,1.447564143860226,Rural,Elementary,0.3779878907711252,0
60558000502,-2.344394990045375,1.339034431768918,Rural,Elementary,0.989844888467589,1
60558009312,-2.718686750203851,1.381897561080821,City,Elementary,0.9863501170729566,1
60558009313,-2.305094535411575,1.24999848271335,City,Elementary,0.9673670379934171,1
60558009314,-2.343164418970036,0.9219614875631602,Suburb,Elementary,0.9532475798116299,1
60558009316,-2.427267645887472,1.015651022250902,City,Elementary,0.9836012308777917,1
60558009318,-2.073712509963347,0.8999535086256646,City,Elementary,0.8658755645659106,1
60558009319,-2.177759949718383,1.045092847347372,City,Elementary,0.9388885646362493,1
60558009320,-2.534290818143074,1.083650946686861,City,Elementary,0.9700655061852602,1
60558009321,-1.915052267264332,1.038767134693239,City,Elementary,0.9408907123426538,1
60558009322,-2.808267035226867,1.223422251513157,City,Elementary,0.9850475300889711,1
60558009323,-1.98280726716576,0.8415880097616864,City,Elementary,0.9287337945642612,1
60558009727,-1.202283611832795,1.241588509414397,City,Elementary,0.9545673891569876,1
60558010659,-1.487399419134963,1.017795018385213,City,Elementary,0.8708404563719048,1
60558011435,-2.030460335590309,1.041080373147685,City,Elementary,0.9901551608001075,1
60558011437,-2.484290825662503,0.8172472510981897,City,Elementary,0.9241869030526295,1
60561000503,-0.1073651885477123,0.8843780773212879,Suburb,Elementary,0.3486962001132717,0
60561000504,1.503528470848016,1.076775658957879,Suburb,Elementary,0.3212655309716304,0
60561000507,-0.5127009318479807,0.8218319294955824,Suburb,Elementary,0.5527907202445567,1
60561000508,1.150271587860469,1.179307780327446,Suburb,Elementary,0.3178119076670953,0
60561000509,0.4792746151797465,1.486725256411312,Suburb,Elementary,0.3785169074472891,0
60561000510,0.1852494882438487,0.7483362714562177,Suburb,Elementary,0.5466506553330515,0
60561000511,0.2742997039985635,0.7906753542470465,Suburb,Elementary,0.2172245517646196,0
60561000512,-0.1332542400925192,1.120144167985633,Suburb,Middle,0.3615811713975216,0
60561000513,0.468865084764424,1.137416391409007,Suburb,Middle,0.3005541436726449,0
60561010235,1.8034276033963,0.8485553658241674,Suburb,Elementary,0.0769919043053303,0
60564000515,0.8614015354765447,1.326216686128074,Rural,Elementary,0.0971290875182557,0
60573000519,-0.5745140332170866,1.057879032742928,Rural,Elementary,0.5199889860097281,0
60579000521,-1.444350164346609,1.127867009516016,Town,Elementary,0.7424431499571885,1
60579000522,-1.29487365169554,0.8413620339055993,Town,Elementary,0.8549242403553423,1
60579008487,-1.288511528816432,1.210720447451046,Town,Elementary,0.711336920934676,1
60579008488,-1.80667263635257,0.8148775742431575,Town,Elementary,0.8427101513492441,1
60588000526,0.6445922133107302,1.041442313263914,Suburb,Elementary,0.3777881966151683,0
60588000530,-0.3158437960990845,1.204960070082708,Suburb,Elementary,0.62259747137476,1
60588000531,1.392857629614448,1.2341062692583331,Suburb,Elementary,0.2066746021737881,0
60588000532,1.985425868161207,1.50108314432316,Suburb,Elementary,0.146783838312801,0
60588000533,0.6408529494754651,1.183369198505879,Suburb,Elementary,0.218534815194533,0
60588007652,0.8887550173414951,1.153203179464239,Suburb,Elementary,0.1911490349446488,0
60591000534,-0.2716966549128266,0.97237954183244,Suburb,Elementary,0.3845055035713047,0
60591000535,-0.0582809876374926,0.8005693483245114,Suburb,Middle,0.408445882975274,0
60591000536,-0.4029329868405069,0.6969460955466853,Suburb,Elementary,0.4135166903812655,0
60591004444,0.0211833211854318,0.9258172604050082,Suburb,Middle,0.2623149256958636,0
60591008455,0.127856703362883,1.035387546906062,Suburb,Elementary,0.1574303209261127,0
60591010194,0.0551462407057288,1.005494083278822,Suburb,Elementary,0.241818222239675,0
60591010474,0.6908412657136411,0.9367572032985579,Suburb,Elementary,0.1613611481048191,0
60591010753,-0.137486153882457,1.093080014719989,Suburb,Elementary,0.2340088650453239,0
60591010754,-0.8823964619731797,1.329584095862158,Suburb,Elementary,0.4711368037685321,0
60591011574,0.6351377446033055,0.905186649581098,Suburb,Middle,0.2062811283737986,0
60603000540,-1.821951681926101,1.34625851980414,Rural,Middle,0.7136467601127673,1
60609000544,-0.9839423036293491,1.075060424719195,Rural,Elementary,0.4761077880853128,0
60610000545,-0.3511905671033988,1.376067548343342,Rural,Elementary,0.4179201891114753,0
60627000291,1.569348047421388,0.8110266475205057,Suburb,Elementary,0.0744631483368251,0
60627000548,-0.0219888642923562,1.030644043052795,Rural,Elementary,0.359113502552863,0
60627000549,0.4254243809319984,1.240634946813062,Suburb,Middle,0.2038972875209438,0
60627000550,1.279974971192506,0.9988110218214077,Suburb,Elementary,0.1179689537818825,0
60627002958,1.568306116426796,1.155845511706954,Suburb,Middle,0.0902710113830605,0
60627009326,-0.0061476556731703,1.022289135602968,Suburb,Elementary,0.2058783924803169,0
60627011240,1.622251127936151,1.07195829826637,Rural,Elementary,0.079541995551228,0
60627011580,0.9321618950896937,1.100895627750389,Suburb,Elementary,0.0942774980095569,0
60633000551,0.4444332280838461,1.423912974945841,Town,Middle,0.4072731924997309,0
60633010661,0.3647353848816319,1.473454312609491,Town,Elementary,0.3597718452857831,0
60636000552,-0.3174472856899797,1.28710587931905,Suburb,Elementary,0.6217398237911577,1
60636000554,-0.0691577708329234,0.9117440901000067,Suburb,Elementary,0.5119196437629387,0
60636000555,0.6869448824200752,1.07919812194534,Suburb,Elementary,0.447172648860159,0
60636000556,-1.432899157708727,0.98289937777823,Suburb,Elementary,0.8821703433785911,1
